Id,Parent,Label
226,28,Red Jeans
227,28,Pink Jeans
228,28,White Jeans
229,28,Blue Jeans
230,28,Yellow Jeans
231,28,Green Jeans
232,28,Black Jeans
233,29,Yellow Belt
234,29,Pink Belt
235,29,Red Belt
236,29,Blue Belt
237,29,Purple Belt
238,29,Black Belt
239,29,White Belt
240,29,Green Belt
241,30,Purple Hat
242,30,Black Hat
243,30,Green Hat
244,30,Blue Hat
245,30,White Hat
246,30,Yellow Hat
247,30,Red Hat
248,30,Pink Hat
249,31,Red Gloves
250,31,Green Gloves
251,31,White Gloves
252,31,Purple Gloves
253,31,Black Gloves
254,31,Pink Gloves
255,31,Yellow Gloves
256,31,Blue Gloves
257,32,Blue Shirt
258,32,Black Shirt
259,32,Purple Shirt
260,32,Red Shirt
261,32,Pink Shirt
262,32,Green Shirt
263,32,White Shirt
264,32,Yellow Shirt
265,33,Yellow Printer
266,33,Purple Printer
267,33,Green Printer
268,33,Black Printer
269,33,Red Printer
270,33,Pink Printer
271,33,Blue Printer
272,33,White Printer
273,34,Pink Monitor
274,34,Red Monitor
275,34,Yellow Monitor
276,34,Green Monitor
277,34,Blue Monitor
278,34,White Monitor
279,34,Purple Monitor
280,34,Black Monitor
281,35,Pink Phone
282,35,Red Phone
283,35,Blue Phone
284,35,Yellow Phone
285,35,White Phone
286,35,Purple Phone
287,35,Black Phone
288,35,Green Phone
289,36,Blue Speaker
290,36,White Speaker
291,36,Pink Speaker
292,36,Yellow Speaker
293,36,Purple Speaker
294,36,Green Speaker
295,36,Black Speaker
296,36,Red Speaker
297,37,Purple Tablet
298,37,Green Tablet
299,37,Blue Tablet
300,37,Black Tablet
301,37,Pink Tablet
302,37,Yellow Tablet
303,37,White Tablet
304,37,Red Tablet
305,38,Black Laptop
306,38,Blue Laptop
307,38,Purple Laptop
308,38,Yellow Laptop
309,38,Red Laptop
310,38,Pink Laptop
311,38,White Laptop
312,38,Green Laptop
313,39,Green Camera
314,39,Black Camera
315,39,Red Camera
316,39,White Camera
317,39,Yellow Camera
318,39,Purple Camera
319,39,Blue Camera
320,39,Pink Camera
321,40,Black Headphones
322,40,Purple Headphones
323,40,Pink Headphones
324,40,Blue Headphones
325,40,Yellow Headphones
326,40,Green Headphones
327,40,White Headphones
328,40,Red Headphones
329,41,White Train
330,41,Blue Train
331,41,Purple Train
332,41,Yellow Train
333,41,Green Train
334,41,Black Train
335,41,Red Train
336,41,Pink Train
337,42,Blue Bus
338,42,White Bus
339,42,Pink Bus
340,42,Purple Bus
341,42,Green Bus
342,42,Yellow Bus
343,42,Red Bus
344,42,Black Bus
345,43,Pink Helicopter
346,43,Black Helicopter
347,43,Blue Helicopter
348,43,Purple Helicopter
349,43,White Helicopter
350,43,Red Helicopter
351,43,Yellow Helicopter
352,43,Green Helicopter
353,44,Green Boat
354,44,White Boat
355,44,Yellow Boat
356,44,Red Boat
357,44,Pink Boat
358,44,Black Boat
359,44,Blue Boat
360,44,Purple Boat
361,45,Pink Airplane
362,45,Green Airplane
363,45,Yellow Airplane
364,45,Blue Airplane
365,45,Red Airplane
366,45,Purple Airplane
367,45,Black Airplane
368,45,White Airplane
369,46,Blue Van
370,46,Red Van
371,46,White Van
372,46,Black Van
373,46,Purple Van
374,46,Pink Van
375,46,Green Van
376,46,Yellow Van
377,47,Black Truck
378,47,Yellow Truck
379,47,Green Truck
380,47,Purple Truck
381,47,Pink Truck
382,47,Red Truck
383,47,White Truck
384,47,Blue Truck
385,48,Green Motorcycle
386,48,Pink Motorcycle
387,48,Black Motorcycle
388,48,Red Motorcycle
389,48,White Motorcycle
390,48,Purple Motorcycle
391,48,Blue Motorcycle
392,48,Yellow Motorcycle
393,49,Pink Sofa
394,49,Green Sofa
395,49,Blue Sofa
396,49,Purple Sofa
397,49,White Sofa
398,49,Black Sofa
399,49,Yellow Sofa
400,49,Red Sofa
401,50,Purple Bed
402,50,Blue Bed
403,50,Yellow Bed
404,50,Black Bed
405,50,White Bed
406,50,Pink Bed
407,50,Red Bed
408,50,Green Bed
409,51,Blue Chair
410,51,Purple Chair
411,51,Black Chair
412,51,White Chair
413,51,Pink Chair
414,51,Red Chair
415,51,Green Chair
416,51,Yellow Chair
417,52,Pink Shelf
418,52,White Shelf
419,52,Red Shelf
420,52,Blue Shelf
421,52,Green Shelf
422,52,Yellow Shelf
423,52,Purple Shelf
424,52,Black Shelf
425,53,Yellow Bookcase
426,53,Purple Bookcase
427,53,Blue Bookcase
428,53,White Bookcase
429,53,Pink Bookcase
430,53,Green Bookcase
431,53,Red Bookcase
432,53,Black Bookcase
433,54,Red Table
434,54,Green Table
435,54,Blue Table
436,54,White Table
437,54,Purple Table
438,54,Yellow Table
439,54,Pink Table
440,54,Black Table
441,55,Red Mattress
442,55,Green Mattress
443,55,White Mattress
444,55,Blue Mattress
445,55,Pink Mattress
446,55,Yellow Mattress
447,55,Purple Mattress
448,55,Black Mattress
449,56,Pink Stool
450,56,White Stool
451,56,Purple Stool
452,56,Red Stool
453,56,Green Stool
454,56,Yellow Stool
455,56,Black Stool
456,56,Blue Stool
457,57,Green Eraser
458,57,Pink Eraser
459,57,Purple Eraser
460,57,Black Eraser
461,57,White Eraser
462,57,Blue Eraser
463,57,Red Eraser
464,57,Yellow Eraser
465,58,Blue Pencil
466,58,Pink Pencil
467,58,Purple Pencil
468,58,White Pencil
469,58,Red Pencil
470,58,Black Pencil
471,58,Green Pencil
472,58,Yellow Pencil
473,59,Pink Ruler
474,59,Blue Ruler
475,59,Purple Ruler
476,59,Yellow Ruler
477,59,Green Ruler
478,59,White Ruler
479,59,Red Ruler
480,59,Black Ruler
481,60,Blue Highlighter
482,60,Pink Highlighter
483,60,Green Highlighter
484,60,Red Highlighter
485,60,Yellow Highlighter
486,60,Purple Highlighter
487,60,White Highlighter
488,60,Black Highlighter
489,61,Purple Pen
490,61,White Pen
491,61,Red Pen
492,61,Pink Pen
493,61,Yellow Pen
494,61,Green Pen
495,61,Black Pen
496,61,Blue Pen
497,62,Yellow Stapler
498,62,Pink Stapler
499,62,Purple Stapler
500,62,Black Stapler
501,62,Blue Stapler
502,62,Red Stapler
503,62,Green Stapler
504,62,White Stapler
505,63,Black Envelope
506,63,White Envelope
507,63,Red Envelope
508,63,Green Envelope
509,63,Pink Envelope
510,63,Blue Envelope
511,63,Purple Envelope
512,63,Yellow Envelope
513,64,Green Marker
514,64,Blue Marker
515,64,Pink Marker
516,64,White Marker
517,64,Black Marker
518,64,Purple Marker
519,64,Yellow Marker
520,64,Red Marker
521,65,Blue Piano
522,65,Green Piano
523,65,Red Piano
524,65,White Piano
525,65,Purple Piano
526,65,Pink Piano
527,65,Yellow Piano
528,65,Black Piano
529,66,Black Accordion
530,66,Green Accordion
531,66,Blue Accordion
532,66,Purple Accordion
533,66,Yellow Accordion
534,66,Pink Accordion
535,66,Red Accordion
536,66,White Accordion
537,67,Pink Violin
538,67,Blue Violin
539,67,Red Violin
540,67,Yellow Violin
541,67,Purple Violin
542,67,Green Violin
543,67,Black Violin
544,67,White Violin
545,68,Purple Drum
546,68,Yellow Drum
547,68,White Drum
548,68,Red Drum
549,68,Green Drum
550,68,Pink Drum
551,68,Blue Drum
552,68,Black Drum
553,69,Black Flute
554,69,Yellow Flute
555,69,Purple Flute
556,69,Green Flute
557,69,Pink Flute
558,69,Red Flute
559,69,Blue Flute
560,69,White Flute
561,70,Pink Saxophone
562,70,Purple Saxophone
563,70,White Saxophone
564,70,Green Saxophone
565,70,Red Saxophone
566,70,Black Saxophone
567,70,Blue Saxophone
568,70,Yellow Saxophone
569,71,Red Trumpet
570,71,Yellow Trumpet
571,71,Pink Trumpet
572,71,Purple Trumpet
573,71,Black Trumpet
574,71,Blue Trumpet
575,71,White Trumpet
576,71,Green Trumpet
577,72,Black Guitar
578,72,Green Guitar
579,72,White Guitar
580,72,Yellow Guitar
581,72,Pink Guitar
582,72,Red Guitar
583,72,Blue Guitar
584,72,Purple Guitar
